Name,Division,Conference,City,State,Academic_Website,Athletic_Website,NCAA_ID,Data_Quality
"Stetson University","NCAA DI","Atlantic Sun Conference","","FL","https://www.stetson.edu/","https://www.gohatters.com","678",100
"Stonehill College","NCAA DI","Northeast Conference","","MA","https://www.stonehill.edu","https://www.stonehillskyhawks.com","682",100
"Stony Brook University","NCAA DI","Coastal Athletic Association","","NY","https://stonybrook.edu","https://stonybrookathletics.com","683",100
"Syracuse University","NCAA DI","Atlantic Coast Conference","","NY","https://syracuse.edu","https://cuse.com","688",100
"Tarleton State University","NCAA DI","Western Athletic Conference","","TX","https://www.tarleton.edu/","https://tarletonsports.com","1395",100
"Temple University","NCAA DI","American Conference","","PA","https://www.temple.edu","https://www.owlsports.com","690",100
"Tennessee State University","NCAA DI","Ohio Valley Conference","","TN","https://www.tnstate.edu/","https://www.tsutigers.com","691",100
"Tennessee Technological University","NCAA DI","Ohio Valley Conference","","TN","https://www.tntech.edu/","https://www.TTUsports.com/","692",100
"Texas A&M University-Corpus Christi","NCAA DI","Southland Conference","","TX","https://www.tamucc.edu/","https://www.goislanders.com","26172",100
"Texas A&M University, College Station","NCAA DI","Southeastern Conference","","TX","https://www.tamu.edu","https://www.12thman.com","697",100
"Texas Christian University","NCAA DI","Big 12 Conference","","TX","https://www.tcu.edu","https://www.gofrogs.com","698",100
"Texas Southern University","NCAA DI","Southwestern Athletic Conf.","","TX","https://www.tsu.edu","https://www.tsusports.com","699",100
"Texas State University","NCAA DI","Sun Belt Conference","","TX","https://www.txstate.edu","https://txstatebobcats.com","670",100
"Texas Tech University","NCAA DI","Big 12 Conference","","TX","https://www.ttu.edu","https://www.texastech.com","700",100
"The Citadel","NCAA DI","Southern Conference","","SC","https://www.citadel.edu","https://www.citadelsports.com","141",100
"The Ohio State University","NCAA DI","Big Ten Conference","","OH","https://www.osu.edu/","https://ohiostatebuckeyes.com/","518",100
"The University of North Carolina at Charlotte","NCAA DI","American Conference","","NC","https://www.charlotte.edu","https://www.charlotte49ers.com","458",100
"The University of North Carolina at Greensboro","NCAA DI","Southern Conference","","NC","https://www.uncg.edu","https://www.uncgspartans.com","459",100
"The University of Southern Mississippi","NCAA DI","Sun Belt Conference","","MS","https://www.usm.edu","https://www.southernmiss.com","664",100
"The University of Texas Rio Grande Valley","NCAA DI","Southland Conference","","TX","https://www.utrgv.edu","https://goutrgv.com","536",100
"The University of Tulsa","NCAA DI","American Conference","","OK","https://www.utulsa.edu","https://www.tulsahurricane.com","719",100
"Towson University","NCAA DI","Coastal Athletic Association","","MD","https://www.towson.edu","https://www.towsontigers.com","711",100
"Troy University","NCAA DI","Sun Belt Conference","","AL","https://troy.edu","https://troytrojans.com","716",100
"Tulane University","NCAA DI","American Conference","","LA","https://www.tulane.edu","https://www.tulanegreenwave.com","718",100
"U.S. Air Force Academy","NCAA DI","Mountain West Conference","","CO","https://usafa.edu","https://www.goairforcefalcons.com/","721",100
"U.S. Military Academy","NCAA DI","Patriot League","","NY","https://www.westpoint.edu","https://goarmywestpoint.com/index.aspx","725",100
"U.S. Naval Academy","NCAA DI","Patriot League","","MD","https://www.usna.edu/","https://www.navysports.com","726",100
"University at Albany","NCAA DI","America East Conference","","NY","https://www.albany.edu","https://www.ualbanysports.com","14",100
"University at Buffalo, the State University of New York","NCAA DI","Mid-American Conference","","NY","https://www.buffalo.edu","https://www.ubbulls.com","86",100
"University of Akron","NCAA DI","Mid-American Conference","","OH","https://uakron.edu","https://gozips.com","5",100
"University of Alabama","NCAA DI","Southeastern Conference","","AL","https://www.ua.edu","https://www.rolltide.com","8",100
"University of Alabama at Birmingham","NCAA DI","American Conference","","AL","https://www.uab.edu","https://www.uabsports.com","9",100
"University of Arizona","NCAA DI","Big 12 Conference","","AZ","https://www.arizona.edu","https://www.arizonawildcats.com","29",100
"University of Arkansas at Little Rock","NCAA DI","Ohio Valley Conference","","AR","https://www.ualr.edu","https:////lrtrojans.com","32",100
"University of Arkansas, Fayetteville","NCAA DI","Southeastern Conference","","AR","https://www.uark.edu/","https://arkansasrazorbacks.com/","31",100
"University of Arkansas, Pine Bluff","NCAA DI","Southwestern Athletic Conf.","","AR","https://www.uapb.edu","https://uapblionsroar.com/","2678",100
"University of California, Berkeley","NCAA DI","Atlantic Coast Conference","","CA","https://www.berkeley.edu","https://www.calbears.com","107",100
"University of California, Davis","NCAA DI","Big West Conference","","CA","https://www.ucdavis.edu","https://www.ucdavisaggies.com","108",100
