Name,Division,City,State,Website,Phone,NCAA_ID,Data_Quality
"Brooklyn College","NCAA D1","","NY","https://www.brooklyn.cuny.edu","","79",70
"Brown University","NCAA D1","","RI","https://www.brown.edu","","80",70
"Bryant University","NCAA D1","","RI","https://www.bryant.edu","","81",70
"Bryn Mawr College","NCAA D1","","PA","https://www.brynmawr.edu","","82",70
"Bucknell University","NCAA D1","","PA","https://bucknell.edu","","83",70
"Buena Vista University","NCAA D1","","IA","https://www.bvu.edu","","84",70
"Buffalo State, State University of New York","NCAA D1","","NY","https://www.buffalostate.edu","","85",70
"Butler University","NCAA D1","","IN","https://www.butler.edu","","87",70
"Cairn University","NCAA D1","","PA","https://www.cairn.edu","","1305",70
"Caldwell University","NCAA D1","","NJ","https://www.caldwell.edu/","","995",70
"California Baptist University","NCAA D1","","CA","https://www.calbaptist.edu","","30135",70
"California Institute of Technology","NCAA D1","","CA","https://www.caltech.edu","","89",70
"California Lutheran University","NCAA D1","","CA","https://www.callutheran.edu","","105",70
"California Polytechnic State University","NCAA D1","","CA","https://calpoly.edu","","90",70
"California State Polytechnic University, Humboldt","NCAA D1","","CA","https://www.humboldt.edu","","291",70
"California State Polytechnic University, Pomona","NCAA D1","","CA","https://www.cpp.edu","","91",70
"California State University, Bakersfield","NCAA D1","","CA","https://www.csub.edu","","94",70
"California State University, Chico","NCAA D1","","CA","https://www.csuchico.edu","","95",70
"California State University, Dominguez Hills","NCAA D1","","CA","https://www.csudh.edu","","92",70
"California State University, East Bay","NCAA D1","","CA","https://www.csueastbay.edu","","98",70
"California State University, Fresno","NCAA D1","","CA","https://www.fresnostate.edu","","96",70
"California State University, Fullerton","NCAA D1","","CA","https://www.fullerton.edu","","97",70
"California State University, Los Angeles","NCAA D1","","CA","https://www.calstatela.edu","","100",70
"California State University, Monterey Bay","NCAA D1","","CA","https://www.csumb.edu","","30055",70
"California State University, Northridge","NCAA D1","","CA","https://www.csun.edu","","101",70
"California State University, Sacramento","NCAA D1","","CA","https://www.csus.edu","","102",70
"California State University, San Bernardino","NCAA D1","","CA","https://www.csusb.edu","","93",70
"California State University, San Marcos","NCAA D1","","CA","https://www.csusm.edu","","30198",70
"California State University, Stanislaus","NCAA D1","","CA","https://www.csustan.edu","","103",70
"Calvin University","NCAA D1","","MI","https://www.calvin.edu","","114",70
"Cameron University","NCAA D1","","OK","https://www.cameron.edu","","996",70
"Campbell University","NCAA D1","","NC","https://www.campbell.edu","","115",70
"Canisius University","NCAA D1","","NY","https://www.canisius.edu","","116",70
"Capital University","NCAA D1","","OH","https://www.capital.edu","","117",70
"Carleton College","NCAA D1","","MN","https://www.carleton.edu","","118",70
"Carnegie Mellon University","NCAA D1","","PA","https://www.cmu.edu/","","119",70
"Carroll University (Wisconsin)","NCAA D1","","WI","https://www.carrollu.edu","","120",70
"Carson-Newman University","NCAA D1","","TN","https://www.cn.edu","","1000",70
"Carthage College","NCAA D1","","WI","https://www.carthage.edu","","121",70
"Case Western Reserve University","NCAA D1","","OH","https://www.case.edu","","122",70
"Catawba College","NCAA D1","","NC","https://www.catawba.edu","","1001",70
"Catholic University","NCAA D1","","DC","https://www.catholic.edu","","124",70
"Cedar Crest College","NCAA D1","","PA","https://www.cedarcrest.edu","","14795",70
"Cedarville University","NCAA D1","","OH","https://www.cedarville.edu","","30124",70
"Centenary College (Louisiana)","NCAA D1","","LA","https://www.centenary.edu","","125",70
"Centenary University (New Jersey)","NCAA D1","","NJ","https://www.centenaryuniversity.edu","","12884",70
"Central College (Iowa)","NCAA D1","","IA","https://www.central.edu","","126",70
"Central Connecticut State University","NCAA D1","","CT","https://www.ccsu.edu","","127",70
"Central Michigan University","NCAA D1","","MI","https://www.cmich.edu","","129",70
"Central State University","NCAA D1","","OH","https://www.centralstate.edu","","30049",70
"Central Washington University","NCAA D1","","WA","https://cwu.edu","","1010",70
"Centre College","NCAA D1","","KY","https://www.centre.edu","","132",70
"Chadron State College","NCAA D1","","NE","https://www.csc.edu","","1012",70
"Chaminade University","NCAA D1","","HI","https://www.chaminade.edu","","133",70
"Chapman University","NCAA D1","","CA","https://www.chapman.edu","","134",70
"Charleston Southern University","NCAA D1","","SC","https://www.charlestonsouthern.edu/","","48",70
"Chatham University","NCAA D1","","PA","https://www.chatham.edu","","10972",70
"Chestnut Hill College","NCAA D1","","PA","https://www.chc.edu","","21323",70
"Chicago State University","NCAA D1","","IL","https://www.csu.edu","","136",70
"Chowan University","NCAA D1","","NC","https://www.chowan.edu","","8875",70
"Christian Brothers University","NCAA D1","","TN","https://www.cbu.edu","","1015",70
"Christopher Newport University","NCAA D1","","VA","https://www.cnu.edu","","139",70
"Claflin University","NCAA D1","","SC","https://www.claflin.edu","","30058",70
"Claremont McKenna-Harvey Mudd-Scripps Colleges","NCAA D1","","CA","https://www.claremontmckenna.edu","","142",70
"Clark Atlanta University","NCAA D1","","GA","https://www.cau.edu","","144",70
"Clark University (Massachusetts)","NCAA D1","","MA","https://www.clarku.edu","","145",70
"Clarkson University","NCAA D1","","NY","https://www.clarkson.edu","","146",70
"Clayton State University","NCAA D1","","GA","https://www.clayton.edu","","20576",70
"Clemson University","NCAA D1","","SC","https://clemson.edu","","147",70
"Cleveland State University","NCAA D1","","OH","https://www.csuohio.edu","","148",70
"Coastal Carolina University","NCAA D1","","SC","https://www.coastal.edu","","149",70
"Coe College","NCAA D1","","IA","https://www.coe.edu","","150",70
"Coker University","NCAA D1","","SC","https://www.coker.edu","","1023",70
"Colby College","NCAA D1","","ME","https://www.colby.edu","","151",70
"Colby-Sawyer College","NCAA D1","","NH","https://www.colby-sawyer.edu","","152",70
"Colgate University","NCAA D1","","NY","https://www.colgate.edu","","153",70
"College of Charleston (South Carolina)","NCAA D1","","SC","https://www.cofc.edu","","1014",70
"College of Saint Benedict","NCAA D1","","MN","https://www.csbsju.edu","","595",70
"College of Staten Island","NCAA D1","","NY","https://www.csi.cuny.edu","","675",70
"College of the Holy Cross","NCAA D1","","MA","https://www.holycross.edu","","285",70
